customer_state,min_improvement_pct,max_improvement_pct,avg_improvement_pct
AC,26.174097277870988,142.8539546495734,96.43421712111066
AL,0.18919826310773102,192.08110761908156,100.11596686099104
AM,17.227776510646038,142.7823207050258,102.43633635247215
AP,28.713523972090133,1798.2784430355782,213.76270024973658
BA,0.5191411174721536,965.7415151146943,99.4041837134933
CE,0.8588406999511383,175.6391790029642,95.33093099572707
DF,0.4959346943663025,189.14174960144504,101.18505420011289
ES,0.5191411174721536,753.1868563141538,102.65561778601945
GO,0.9489114215449894,441.1966035368244,101.16672990623884
MA,0.3711635246564837,1059.4295885778545,98.74444598720322
MG,0.3687452639498823,4979.540983589911,101.99579946310485
MS,9.364432133148487,185.20635363521,106.67234665847285
MT,0.16014770436961176,159.1511879095967,100.50898572473443
PA,1.1343397776640107,3872.1282387313586,107.43140061525894
PB,2.5416012915636834,174.39537543369065,101.7538857991322
PE,0.68730637649788,165.0409876348148,98.03001332097604
PI,0.5191411174721536,183.4566214043192,100.25688875705077
PR,0.37116352465647406,246.06569901181925,102.15056110151554
RJ,0.3687452639498823,350.78171532062265,95.49419772645106
RN,5.733432352968756,161.4395460468156,96.35107626405366
RO,4.993519739607779,157.02127659574467,95.09794843729244
RR,39.819592242737045,1039.9296428871696,175.77232297219192
RS,0.7845433251964733,202.5765220998535,100.16559796660684
SC,0.9489114215449894,211.8600299272729,100.7116730576477
SE,0.5302416921489961,7816.324268156042,160.02406626160098
SP,0.04904119795882978,5311.966035368261,101.99748641282397
TO,0.605900425405728,167.07184560060136,99.74131703357534
